CustomerId,Surname,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,RelationshipStrengthIndex,PredictedChurnProbability,PredictedRiskTier,EngagementSegment
15648455,Kung,Germany,Male,51,4,131156.76,1,1,0,36.2,0.92066637772299,Critical,Inactive High-Balance
15586585,Duncan,Germany,Female,51,2,111018.98,1,1,0,30.6,0.9175507214115051,Critical,Inactive Disengaged
15657468,Simmons,Germany,Female,53,5,123805.03,1,1,0,36.7,0.9110688425551535,Critical,Inactive Disengaged
15806049,Lee,Germany,Female,49,5,140510.89,1,1,0,38.7,0.9085709862279966,Critical,Inactive High-Balance
15631406,Munro,Germany,Male,50,5,109387.9,1,1,0,34.9,0.9044002775914612,Critical,Inactive Disengaged
15787161,Pisani,Germany,Male,46,4,129269.27,1,1,0,36.0,0.9031919094832602,Critical,Inactive High-Balance
15571529,Kirby,Germany,Female,48,7,138232.24,1,1,0,41.5,0.9008722046637949,Critical,Inactive High-Balance
15691504,Yusupova,Germany,Female,52,8,124099.13,1,0,0,36.3,0.8992069889165636,Critical,Inactive Disengaged
15791321,Nwora,Spain,Female,58,4,0.0,1,1,0,27.2,0.8931041777631111,Critical,Inactive Disengaged
15755649,Winter-Irving,Germany,Male,47,7,130538.77,1,1,0,40.6,0.887326348080669,Critical,Inactive High-Balance
15698732,K'ung,Germany,Male,51,3,104677.09,1,1,0,31.3,0.8820534199502832,Critical,Inactive Disengaged
15707473,Summers,Germany,Female,48,6,111962.99,1,1,0,36.7,0.8760856859181005,Critical,Inactive Disengaged
15691119,Martin,Germany,Male,68,4,136525.99,1,0,0,31.8,0.8734734800883317,Critical,Inactive High-Balance
15797960,Skinner,Germany,Female,59,0,135296.33,1,1,0,30.7,0.8707375074735157,Critical,Inactive High-Balance
15788224,Sanderson,Germany,Male,45,1,123949.75,1,0,0,25.8,0.8654095783027763,Critical,Inactive Disengaged
15809772,Glover,France,Male,48,2,0.0,1,1,0,24.2,0.8619629815658302,Critical,Inactive Disengaged
15690452,Tung,France,Male,52,1,63349.75,1,1,0,25.7,0.8590098372886235,Critical,Inactive Disengaged
15634245,Muecke,Germany,Female,47,9,95523.16,1,1,0,39.3,0.8584727716803883,Critical,Inactive Disengaged
15565796,Docherty,Germany,Male,48,10,96048.55,1,1,0,40.9,0.8584042634781988,Critical,Inactive Disengaged
15762762,Onyekachukwu,Germany,Female,45,5,118886.55,1,0,0,31.1,0.8526629801626278,Critical,Inactive Disengaged
15734202,Chidimma,Germany,Female,52,4,86891.84,1,1,0,31.2,0.8486842610378172,Critical,Inactive Disengaged
15631882,Yeh,Germany,Male,45,9,103399.87,1,0,0,35.2,0.8473680871124335,Critical,Inactive Disengaged
15569595,Walker,France,Female,50,6,0.0,1,1,0,30.2,0.8448402571102533,Critical,Inactive Disengaged
15771728,Mackenzie,Germany,Male,41,7,104405.54,3,1,0,34.3,0.8394905106147245,Critical,Inactive Disengaged
15678916,Kelly,France,Female,75,2,0.0,1,1,0,24.2,0.8375249983918464,Critical,Inactive Disengaged
15785576,Mayrhofer,Germany,Male,71,9,119496.87,1,1,0,42.2,0.8365066597457019,Critical,Inactive Disengaged
15683183,Volkova,Germany,Female,45,6,97652.96,1,1,0,35.1,0.8363405069828661,Critical,Inactive Disengaged
15714087,McGill,Germany,Female,45,5,151855.33,1,1,0,39.7,0.8321135881660416,Critical,Inactive High-Balance
15574910,Ferguson,France,Male,50,2,115625.07,1,1,0,31.2,0.8309768802410218,Critical,Inactive Disengaged
15699523,Chu,Germany,Female,55,4,126817.65,2,1,0,52.1,0.8283449786872503,Critical,Inactive Disengaged
15689294,Onyemaechi,Germany,Male,44,3,105934.96,1,1,0,31.5,0.8277194008150994,Critical,Inactive Disengaged
